1、不做处理时
内存数据变化：
	4.99269485473632,	4.98945999145507,	4.98317718505859,	4.99202728271484,	4.98688507080078,	4.98490905761718,	5.16588973999023,	5.37707901000976,	5.63764953613281,	5.67367553710937,	5.68843460083007,	5.69052124023437,	5.69482040405273,	5.69282531738281,	5.69475173950195,	5.6955223083496,	5.69425201416015,	5.69521331787109,	5.69987869262695,	5.71728515625,	5.71906280517578,	5.73315048217773,	5.73309707641601,	5.74259185791015,	5.73816299438476,	5.73670196533203,	5.73627090454101,	5.73609542846679,	5.73591613769531,	5.73465728759765,	5.73094940185546,	5.73171234130859,	5.73160171508789,	5.73134613037109,	5.73103713989257,	5.73118209838867,	5.73114395141601,	5.7314338684082,	5.74026489257812,	5.73832321166992,	5.74665451049804,	5.74645614624023,	5.74328994750976,	5.7400894165039,	5.73957824707031,	5.74415588378906,	5.74337005615234,	5.74312210083007,	5.74195861816406,	5.74124526977539,
耗时：
开始时间：509051689738200, 结束时间：509051824193600, 耗时：0.1344554s
开始时间：509044614850900, 结束时间：509044751208000, 耗时：0.1363571s
开始时间：509052922756000, 结束时间：509053060176400, 耗时：0.1374204s
开始时间：509052370310500, 结束时间：509052505048900, 耗时：0.1347384s
开始时间：509045161704500, 结束时间：509045298505900, 耗时：0.1368014s
开始时间：509050743041800, 结束时间：509050876687800, 耗时：0.133646s
开始时间：509053613499400, 结束时间：509053750780800, 耗时：0.1372814s
开始时间：509053196535800, 结束时间：509053335274900, 耗时：0.1387391s
开始时间：509054300196100, 结束时间：509054436906000, 耗时：0.1367099s
开始时间：509047588557500, 结束时间：509047725117100, 耗时：0.1365596s
开始时间：509054025738400, 结束时间：509054162380500, 耗时：0.1366421s
开始时间：509054583324000, 结束时间：509054726698200, 耗时：0.1433742s
开始时间：509048408888800, 结束时间：509048543963300, 耗时：0.1350745s
开始时间：509043521644500, 结束时间：509043666085400, 耗时：0.1444409s
开始时间：509046778850800, 结束时间：509046912158400, 耗时：0.1333076s
开始时间：509043240320700, 结束时间：509043380398800, 耗时：0.1400781s
开始时间：509043666131500, 结束时间：509043800644200, 耗时：0.1345127s
开始时间：509040773289100, 结束时间：509040936996300, 耗时：0.1637072s
开始时间：509053060214700, 结束时间：509053196500100, 耗时：0.1362854s
